,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
15091,2016-12-16,N8U,47.0,190.43,4.2203409090909085,16.0,12.0,4.051702127659575
15099,2016-12-16,R6E,24.0,142.92000000000002,6.306587301587301,16.0,12.0,5.955000000000001
15114,2016-12-17,29A,8.0,54.72,7.017857142857143,17.0,12.0,6.84
15123,2016-12-17,FEW,15.0,150.77,10.051333333333334,17.0,12.0,10.051333333333334
15136,2016-12-17,N8U,60.0,236.07,4.120065359477125,17.0,12.0,3.9345
15143,2016-12-17,R6E,10.0,62.440000000000005,6.244000000000001,17.0,12.0,6.244000000000001
15156,2016-12-18,29A,5.0,46.38,9.276,18.0,12.0,9.276
15164,2016-12-18,FEW,10.0,103.25,10.715555555555556,18.0,12.0,10.325
15178,2016-12-18,N8U,29.0,112.74,3.931296296296296,18.0,12.0,3.8875862068965517
15184,2016-12-18,R6E,10.0,76.6,7.660000000000001,18.0,12.0,7.659999999999999
15198,2016-12-19,29A,7.0,49.129999999999995,7.018571428571429,19.0,12.0,7.018571428571428
15207,2016-12-19,FEW,11.0,130.81,11.85388888888889,19.0,12.0,11.891818181818183
15222,2016-12-19,N8U,50.0,244.72,4.9515957446808505,19.0,12.0,4.8944
15230,2016-12-19,R6E,23.0,180.76,7.859130434782609,19.0,12.0,7.8591304347826085
15245,2016-12-20,29A,9.0,58.57,6.507777777777778,20.0,12.0,6.507777777777778
15254,2016-12-20,FEW,14.0,129.74,9.70409090909091,20.0,12.0,9.267142857142858
15268,2016-12-20,N8U,61.0,235.95,4.06391156462585,20.0,12.0,3.8680327868852458
15276,2016-12-20,R6E,21.0,190.21,9.748947368421053,20.0,12.0,9.057619047619047
15291,2016-12-21,29A,23.0,182.0,7.916597222222222,21.0,12.0,7.913043478260869
15300,2016-12-21,FEW,16.0,156.67000000000002,9.203333333333335,21.0,12.0,9.791875000000001
15315,2016-12-21,N8U,52.0,223.06,4.405460992907802,21.0,12.0,4.289615384615384
15323,2016-12-21,R6E,16.0,111.93,7.054333333333334,21.0,12.0,6.995625
15338,2016-12-22,29A,17.0,97.02000000000001,6.271666666666666,22.0,12.0,5.707058823529413
15347,2016-12-22,FEW,9.0,110.15,11.9925,22.0,12.0,12.238888888888889
15362,2016-12-22,N8U,55.0,207.12,3.8935208333333335,22.0,12.0,3.7658181818181817
15370,2016-12-22,R6E,28.0,189.34,6.762142857142856,22.0,12.0,6.762142857142857
15385,2016-12-23,29A,12.0,74.93,6.387777777777777,23.0,12.0,6.2441666666666675
15394,2016-12-23,FEW,20.0,197.18,9.441,23.0,12.0,9.859
15408,2016-12-23,N8U,48.0,180.16,3.7741860465116277,23.0,12.0,3.7533333333333334
15415,2016-12-23,R6E,13.0,58.05,4.4653846153846155,23.0,12.0,4.4653846153846155
15428,2016-12-24,29A,2.0,15.170000000000002,7.585000000000001,24.0,12.0,7.585000000000001
15432,2016-12-24,FEW,4.0,44.17,9.986666666666666,24.0,12.0,11.0425
15436,2016-12-24,N8U,14.0,54.62,3.8080769230769227,24.0,12.0,3.9014285714285712
15440,2016-12-24,R6E,2.0,5.05,2.525,24.0,12.0,2.525
15446,2016-12-26,29A,2.0,21.19,10.595,26.0,12.0,10.595
15452,2016-12-26,FEW,4.0,44.62,11.155,26.0,12.0,11.155
15460,2016-12-26,N8U,12.0,46.66,3.888333333333333,26.0,12.0,3.888333333333333
15465,2016-12-26,R6E,10.0,52.37,6.014583333333333,26.0,12.0,5.237
15478,2016-12-27,29A,5.0,26.24,6.154999999999999,27.0,12.0,5.247999999999999
15484,2016-12-27,FEW,12.0,99.31,8.215909090909092,27.0,12.0,8.275833333333333
15498,2016-12-27,N8U,30.0,142.79,4.721442307692307,27.0,12.0,4.759666666666666
15505,2016-12-27,R6E,18.0,156.01,8.957352941176469,27.0,12.0,8.667222222222222
15520,2016-12-28,29A,5.0,35.24,7.047999999999999,28.0,12.0,7.048
15529,2016-12-28,FEW,9.0,95.38,10.597777777777779,28.0,12.0,10.597777777777777
15544,2016-12-28,N8U,33.0,117.81,3.770574712643678,28.0,12.0,3.5700000000000003
15551,2016-12-28,R6E,18.0,149.28,8.293333333333333,28.0,12.0,8.293333333333333
15563,2016-12-29,29A,14.0,96.13,6.08375,29.0,12.0,6.866428571428571
15572,2016-12-29,FEW,14.0,127.41,9.515,29.0,12.0,9.100714285714286
15587,2016-12-29,N8U,34.0,127.67,3.8090625,29.0,12.0,3.755
15595,2016-12-29,R6E,17.0,101.87,5.99235294117647,29.0,12.0,5.99235294117647
15609,2016-12-30,29A,12.0,99.86,8.404,30.0,12.0,8.321666666666667
15617,2016-12-30,FEW,9.0,91.16,10.128888888888888,30.0,12.0,10.128888888888888
15631,2016-12-30,N8U,52.0,213.3,4.3343617021276595,30.0,12.0,4.101923076923077
15637,2016-12-30,R6E,26.0,151.53,5.832173913043479,30.0,12.0,5.828076923076923
15649,2016-12-31,29A,5.0,42.23,8.446000000000002,31.0,12.0,8.446
15654,2016-12-31,FEW,3.0,30.5,10.166666666666666,31.0,12.0,10.166666666666666
15665,2016-12-31,N8U,22.0,84.02,3.9440476190476184,31.0,12.0,3.819090909090909
15671,2016-12-31,R6E,10.0,115.06,11.506,31.0,12.0,11.506
price,,,,,,,,
