,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
9932,2016-08-21,FEW,5.0,38.99,7.875,21.0,8.0,7.798
9944,2016-08-21,N8U,19.0,69.45,3.791944444444445,21.0,8.0,3.655263157894737
9950,2016-08-21,R6E,9.0,53.879999999999995,5.986666666666666,21.0,8.0,5.986666666666666
9961,2016-08-22,29A,18.0,133.5,7.416666666666667,22.0,8.0,7.416666666666667
9970,2016-08-22,FEW,17.0,153.95,9.055882352941175,22.0,8.0,9.055882352941175
9984,2016-08-22,N8U,24.0,116.6,5.017608695652174,22.0,8.0,4.858333333333333
9992,2016-08-22,R6E,15.0,98.29,6.552666666666667,22.0,8.0,6.552666666666667
10005,2016-08-23,29A,13.0,84.30000000000001,6.833703703703704,23.0,8.0,6.484615384615386
10014,2016-08-23,FEW,11.0,107.67,9.788181818181819,23.0,8.0,9.788181818181819
10028,2016-08-23,N8U,33.0,139.76,4.315517241379311,23.0,8.0,4.2351515151515144
10036,2016-08-23,R6E,11.0,88.02,8.00181818181818,23.0,8.0,8.001818181818182
10050,2016-08-24,29A,16.0,63.4,4.672053571428572,24.0,8.0,3.9625
10059,2016-08-24,FEW,9.0,86.44999999999999,9.605555555555554,24.0,8.0,9.605555555555554
10074,2016-08-24,N8U,27.0,106.35,4.540666666666667,24.0,8.0,3.9388888888888887
10082,2016-08-24,R6E,11.0,88.21000000000001,8.019090909090908,24.0,8.0,8.01909090909091
10096,2016-08-25,29A,9.0,53.32,7.0219047619047625,25.0,8.0,5.924444444444444
10105,2016-08-25,FEW,15.0,173.6,12.201538461538462,25.0,8.0,11.573333333333332
10118,2016-08-25,N8U,55.0,221.98,4.209062500000001,25.0,8.0,4.036
10126,2016-08-25,R6E,17.0,108.74000000000001,6.33125,25.0,8.0,6.396470588235295
10141,2016-08-26,29A,18.0,94.26,6.788787878787878,26.0,8.0,5.236666666666667
10150,2016-08-26,FEW,13.0,113.79,8.753076923076922,26.0,8.0,8.753076923076923
10165,2016-08-26,N8U,34.0,158.23,4.932419354838709,26.0,8.0,4.653823529411764
10173,2016-08-26,R6E,13.0,67.59,5.199230769230768,26.0,8.0,5.19923076923077
10186,2016-08-27,29A,5.0,25.490000000000002,5.098,27.0,8.0,5.098000000000001
10193,2016-08-27,FEW,9.0,75.97,8.44111111111111,27.0,8.0,8.44111111111111
10207,2016-08-27,N8U,29.0,123.56,4.346785714285715,27.0,8.0,4.260689655172414
10215,2016-08-27,R6E,8.0,30.47,3.80875,27.0,8.0,3.80875
10226,2016-08-28,29A,7.0,48.91,7.891666666666666,28.0,8.0,6.987142857142857
10232,2016-08-28,FEW,1.0,12.08,12.08,28.0,8.0,12.08
10242,2016-08-28,N8U,15.0,57.49,3.8607692307692307,28.0,8.0,3.832666666666667
10246,2016-08-28,R6E,9.0,55.1,6.122222222222222,28.0,8.0,6.122222222222223
10259,2016-08-29,29A,6.0,16.240000000000002,3.0183333333333335,29.0,8.0,2.706666666666667
10266,2016-08-29,FEW,11.0,111.8,10.163636363636364,29.0,8.0,10.163636363636364
10277,2016-08-29,N8U,23.0,83.13,3.8611111111111116,29.0,8.0,3.614347826086956
10285,2016-08-29,R6E,9.0,40.37,4.485555555555555,29.0,8.0,4.485555555555555
10300,2016-08-30,29A,13.0,84.69,6.490000000000001,30.0,8.0,6.514615384615384
10308,2016-08-30,FEW,8.0,86.88,10.86,30.0,8.0,10.86
10323,2016-08-30,N8U,34.0,148.43,4.533620689655172,30.0,8.0,4.365588235294118
10331,2016-08-30,R6E,13.0,103.66,7.043181818181819,30.0,8.0,7.973846153846154
10345,2016-08-31,29A,16.0,93.26,7.135606060606062,31.0,8.0,5.82875
10354,2016-08-31,FEW,8.0,111.11,13.88875,31.0,8.0,13.88875
